Participant,Stimulus_Name,Valence,Arousal,IBI RMSSD,IBI SDNN
group33_v5_3,Q_HP,0.508476,0.016054,31.66576107,18.54157112
group33_v5_3,U_Ne,0.270553,-0.011652,37.38589411,25.49557636
group33_v5_3,V_Ne,0.184874,-0.012493,22.99937726,16.8769289
group33_v5_3,W_HN,-0.69755,0.004446,19.6000626,13.46123025
group33_v5_4,A1_LP,0.216106,-0.214297,69.73139499,35.70653438
group33_v5_4,A2_LP,0.258077,-0.067458,99.85799243,63.40139781
group33_v5_4,A3_LP,0.18384,0.273401,37.26325006,16.91455867
group33_v5_4,A4_LP,0.261014,-0.074368,192.0985567,125.6428781
group33_v5_4,A_HN,-0.354662,0.121493,150.5131738,77.70067056
group33_v5_4,B_HN,-0.404717,0.224238,67.12994143,32.75975423
group33_v5_4,C_LN,-0.181608,-0.328654,188.3480532,66.50687955
group33_v5_4,F_HN,-0.175592,0.369888,96.6352881,48.28863315
group33_v5_4,G_HP,0.209737,0.352669,110.3626047,52.22780888
group33_v5_4,H_HP,0.23735,0.395885,138.1067932,85.98680719
group33_v5_4,J_Ne,0.082203,-0.322027,62.98638866,27.99395051
group33_v5_4,K_Ne,0.058821,-0.368755,82.58740044,51.63790651
group33_v5_4,M_LN,-0.242214,-0.2043,179.6632359,92.50609725
group33_v5_4,N_LN,-0.280637,-0.14075,87.44164044,59.6675454
group33_v5_4,O_LN,-0.205883,-0.318742,104.2735687,65.07758811
group33_v5_4,P_HP,0.208469,0.389287,77.38911233,34.37444513
group33_v5_4,Q_HP,0.247549,0.385294,226.5625,0
group33_v5_4,U_Ne,0.131717,-0.27966,101.2615734,55.98897771
group33_v5_4,V_Ne,0.090005,-0.299824,90.51118332,63.76516553
group33_v5_4,W_HN,-0.339598,0.10671,195.6247504,134.8277109
group33_v5_5,A1_LP,0.469732,-0.124326,66.23369124,38.75612272
group33_v5_5,A2_LP,0.560961,-0.039136,43.59827005,27.92409822
group33_v5_5,A3_LP,0.399599,0.158615,41.462717,17.12623234
group33_v5_5,A4_LP,0.567346,-0.043145,39.0625,25.83741515
group33_v5_5,A_HN,-0.770899,0.070485,33.31261193,19.52802143
group33_v5_5,B_HN,-0.8797,0.130093,37.2222789,25.25504668
group33_v5_5,C_LN,-0.394746,-0.19067,31.95812283,22.79798815
group33_v5_5,F_HN,-0.38167,0.214592,32.34682309,18.1340143
group33_v5_5,G_HP,0.455889,0.204603,38.63401355,29.57480513
group33_v5_5,H_HP,0.515908,0.229675,45.25559166,24.27453377
group33_v5_5,J_Ne,0.178678,-0.186826,21.10821263,15.00732243
group33_v5_5,K_Ne,0.127853,-0.213935,46.96791387,22.37716256
group33_v5_5,M_LN,-0.526482,-0.118526,68.52821848,39.40432189
group33_v5_5,N_LN,-0.609997,-0.081657,40.53224588,25.00372965
group33_v5_5,O_LN,-0.447512,-0.18492,46.68312445,22.50430983
group33_v5_5,P_HP,0.453131,0.225847,37.2222789,18.96040797
group33_v5_5,Q_HP,0.538077,0.22353,26.30079411,16.05316147
group33_v5_5,U_Ne,0.286303,-0.162246,32.11688249,16.84676457
group33_v5_5,V_Ne,0.195636,-0.173944,24.29004962,13.83452904
group33_v5_5,W_HN,-0.738157,0.061908,26.03481269,14.24383888
group33_v5_6,A1_LP,0.034025,-0.19084,16.8769289,9.587986994
group33_v5_6,A2_LP,0.040633,-0.060074,28.30347021,10.28872437
group33_v5_6,A3_LP,0.028945,0.243474,22.25000975,9.820927516
group33_v5_6,A4_LP,0.041096,-0.066228,14.61584917,8.734640537
group33_v5_6,A_HN,-0.05584,0.108194,23.69648576,14.4900289
group33_v5_6,B_HN,-0.063721,0.199692,14.26360827,8.13150781
group33_v5_6,C_LN,-0.028594,-0.292678,22.77715584,11.71875
group33_v5_6,F_HN,-0.027646,0.329398,22.2347648,13.09613642
group33_v5_6,G_HP,0.033022,0.314065,24.29004962,14.7865308
group33_v5_6,H_HP,0.03737,0.35255,19.91804497,12.35264711
group33_v5_6,J_Ne,0.012943,-0.286777,27.73162398,17.69300807
group33_v5_6,K_Ne,0.009261,-0.32839,35.58763117,20.2032821
group33_v5_6,M_LN,-0.038136,-0.181937,17.97574193,11.53483492
group33_v5_6,N_LN,-0.044185,-0.125343,18.70654687,10.2856342
group33_v5_6,O_LN,-0.032416,-0.283851,18.69665708,10.26763657
group33_v5_6,P_HP,0.032823,0.346674,26.97641309,18.28740872
group33_v5_6,Q_HP,0.038976,0.343118,16.01086057,10.00488162
group33_v5_6,U_Ne,0.020738,-0.249048,26.26208799,17.5564102
group33_v5_6,V_Ne,0.014171,-0.267004,33.78398174,19.84128922
group33_v5_6,W_HN,-0.053469,0.095029,22.74186975,16.12555226
group33_v5_7,A1_LP,0.05913,-0.235409,0,0
group33_v5_7,A2_LP,0.070614,-0.074104,136.662935,70.3125
group33_v5_7,A3_LP,0.050302,0.300336,54.6875,0
group33_v5_7,A4_LP,0.071418,-0.081695,218.75,0
group33_v5_7,A_HN,-0.097042,0.133462,128.965422,74.21875
group33_v5_7,B_HN,-0.110737,0.246329,47.09151385,16.05316147
group33_v5_7,C_LN,-0.049691,-0.361032,156.25,0
group33_v5_7,F_HN,-0.048045,0.406328,62.5,0
group33_v5_7,G_HP,0.057388,0.387413,62.5,0
group33_v5_7,H_HP,0.064943,0.434887,132.8125,0
group33_v5_7,J_Ne,0.022492,-0.353752,273.6606233,105.2676194
group33_v5_7,K_Ne,0.016094,-0.405083,0,0
group33_v5_7,M_LN,-0.066274,-0.224428,139.2437957,41.82911043
group33_v5_7,N_LN,-0.076787,-0.154617,62.98638866,31.25
group33_v5_7,O_LN,-0.056333,-0.350143,69.43901889,35.13212907
group33_v5_7,P_HP,0.057041,0.427638,195.9365032,15.625
group33_v5_7,Q_HP,0.067734,0.423252,15.625,0
group33_v5_7,U_Ne,0.03604,-0.307211,7.8125,0
group33_v5_7,V_Ne,0.024627,-0.329362,0,0
group33_v5_7,W_HN,-0.09292,0.117222,31.73452502,16.10588135
group33_v5_8,A1_LP,0.399106,-0.35633,29.36190699,16.31180966
group33_v5_8,A2_LP,0.476619,-0.112168,40.68880206,27.18634943
group33_v5_8,A3_LP,0.339518,0.454607,113.9527511,55.34620045
group33_v5_8,A4_LP,0.482044,-0.123658,54.75721003,35.14268401
group33_v5_8,A_HN,-0.654993,0.202016,29.32645287,17.62737734
group33_v5_8,B_HN,-0.747435,0.372859,76.98825781,58.24387568
group33_v5_8,C_LN,-0.335395,-0.546479,18.32193656,10.74041179
group33_v5_8,F_HN,-0.324285,0.615042,54.40776671,43.5954923
group33_v5_8,G_HP,0.387345,0.586412,41.73172005,25.10827249
group33_v5_8,H_HP,0.43834,0.658271,33.14563037,20.50522884
group33_v5_8,J_Ne,0.151813,-0.53546,41.95053045,18.27561048
group33_v5_8,K_Ne,0.10863,-0.613159,52.9229204,37.51767845
group33_v5_8,M_LN,-0.447324,-0.339707,16.10588135,10.31443979
group33_v5_8,N_LN,-0.518283,-0.234037,53.24810269,37.66214086
group33_v5_8,O_LN,-0.380227,-0.529998,43.69260869,35.40187685
group33_v5_8,P_HP,0.385001,0.647299,84.00708269,64.59353787
group33_v5_8,Q_HP,0.457176,0.640659,30.11325349,13.75985269
group33_v5_8,U_Ne,0.243257,-0.465014,27.62135864,16.52158534
group33_v5_8,V_Ne,0.166222,-0.498542,22.48821616,16.17341155
group33_v5_8,W_HN,-0.627173,0.177435,130.1979162,109.9118768
group33_v5_9,A1_LP,0.312388,-0.157999,37.11671685,20.02718576
group33_v5_9,A2_LP,0.373059,-0.049736,59.83919423,29.46278255
group33_v5_9,A3_LP,0.265747,0.201576,88.42670232,59.83919423
group33_v5_9,A4_LP,0.377305,-0.054831,49.27314565,19.75660881
group33_v5_9,A_HN,-0.512675,0.089575,58.11435834,36.60272334
group33_v5_9,B_HN,-0.585031,0.165328,30.95564493,22.65625
group33_v5_9,C_LN,-0.26252,-0.242312,73.12741408,54.5718081
group33_v5_9,F_HN,-0.253824,0.272714,48.23862904,26.90425257
group33_v5_9,G_HP,0.303182,0.260019,43.21661464,22.36553183
group33_v5_9,H_HP,0.343097,0.291882,63.03482111,32.67269323
group33_v5_9,J_Ne,0.118827,-0.237426,90.53740379,38.31312449
group33_v5_9,K_Ne,0.085027,-0.271878,71.51745307,31.7921718
group33_v5_9,M_LN,-0.350129,-0.150628,83.04801416,54.6875
group33_v5_9,N_LN,-0.40567,-0.103774,49.15256794,28.96220888
group33_v5_9,O_LN,-0.297611,-0.235004,83.57458162,44.40675701
group33_v5_9,P_HP,0.301348,0.287016,56.74155877,34.66452998
group33_v5_9,Q_HP,0.35784,0.284072,47.09151385,29.80604985
group33_v5_9,U_Ne,0.190402,-0.20619,49.41058844,35.15357071
group33_v5_9,V_Ne,0.130105,-0.221057,52.49096436,30.92947871
group33_v5_9,W_HN,-0.4909,0.078676,57.06492006,34.44545901
group_33_v1_1,A1_LP,0.002483,-0.248122,28.43792926,12.80749712
group_33_v1_1,A2_LP,0.002965,-0.078106,43.29724273,36.40514828
group_33_v1_1,A3_LP,0.002112,0.316555,49.77978851,28.768676
group_33_v1_1,A4_LP,0.002999,-0.086107,222.4848573,168.4748915
group_33_v1_1,A_HN,-0.004075,0.140669,29.57764763,18.04219591
group_33_v1_1,B_HN,-0.00465,0.259631,50.78125,31.64759011
group_33_v1_1,C_LN,-0.002087,-0.380528,25.70244753,14.61946114
group_33_v1_1,F_HN,-0.002017,0.42827,77.5368486,50.78125
group_33_v1_1,G_HP,0.00241,0.408334,55.13212114,34.21680772
group_33_v1_1,H_HP,0.002727,0.458371,54.6875,18.22172467
group_33_v1_1,J_Ne,0.000944,-0.372855,44.15579416,30.7547808
group_33_v1_1,K_Ne,0.000676,-0.426959,81.93819126,50.59310096
group_33_v1_1,M_LN,-0.002783,-0.236547,110.9518883,93.26721722
group_33_v1_1,N_LN,-0.003224,-0.162966,40.4760681,22.39350132
group_33_v1_1,O_LN,-0.002365,-0.369051,311.1298086,195.3125
group_33_v1_1,P_HP,0.002395,0.450731,29.23169833,23.35597801
group_33_v1_1,Q_HP,0.002844,0.446108,21.10821263,13.28125
group_33_v1_1,U_Ne,0.001513,-0.323801,0,0
group_33_v1_1,V_Ne,0.001034,-0.347148,148.3552404,123.0908899
group_33_v1_1,W_HN,-0.003902,0.123553,39.45119117,22.28807652
group_33_v1_10,A1_LP,0.095363,-0.259699,46.43894401,20.50522884
group_33_v1_10,A2_LP,0.113883,-0.08175,265.625,0
group_33_v1_10,A3_LP,0.081125,0.331325,17.46928107,7.8125
group_33_v1_10,A4_LP,0.11518,-0.090124,17.46928107,7.8125
group_33_v1_10,A_HN,-0.156504,0.147233,82.67972847,38.97559778
group_33_v1_10,B_HN,-0.178592,0.271746,0,0
group_33_v1_10,C_LN,-0.080139,-0.398284,45.66582791,32.0270153
group_33_v1_10,F_HN,-0.077485,0.448254,32.2117627,7.8125
group_33_v1_10,G_HP,0.092552,0.427387,72.02769107,46.875
group_33_v1_10,H_HP,0.104737,0.479759,54.6875,0
group_33_v1_10,J_Ne,0.036274,-0.390253,84.50510802,46.875
group_33_v1_10,K_Ne,0.025956,-0.446881,0,0
group_33_v1_10,M_LN,-0.106884,-0.247584,94.39879667,39.0625
group_33_v1_10,N_LN,-0.123839,-0.17057,38.38701679,23.78044169
group_33_v1_10,O_LN,-0.090852,-0.386272,141.05836,105.3963872
group_33_v1_10,P_HP,0.091992,0.471763,70.96055517,33.60283307
group_33_v1_10,Q_HP,0.109238,0.466924,0,0
group_33_v1_10,U_Ne,0.058124,-0.33891,203.125,0
group_33_v1_10,V_Ne,0.039717,-0.363346,67.99568432,30.94331937
group_33_v1_10,W_HN,-0.149857,0.129318,77.43838907,52.80666342
group_33_v1_11,A1_LP,0.241027,-0.180776,36.75474743,19.34809961
group_33_v1_11,A2_LP,0.287838,-0.056906,50.63078671,24.5676592
group_33_v1_11,A3_LP,0.205041,0.230634,0,0
group_33_v1_11,A4_LP,0.291114,-0.062735,20.91455521,15.24049468
group_33_v1_11,A_HN,-0.395561,0.102488,52.11587525,11.71875
group_33_v1_11,B_HN,-0.451389,0.189161,31.25,0
group_33_v1_11,C_LN,-0.202551,-0.277243,29.23169833,15.44828705
group_33_v1_11,F_HN,-0.195841,0.312027,99.76685562,85.33653846
group_33_v1_11,G_HP,0.233924,0.297502,168.6939288,123.2017874
group_33_v1_11,H_HP,0.264721,0.333958,28.30347021,19.50682066
group_33_v1_11,J_Ne,0.091683,-0.271653,40.74501503,15.93443598
group_33_v1_11,K_Ne,0.065604,-0.311072,49.41058844,19.37241718
group_33_v1_11,M_LN,-0.270146,-0.172342,118.5968493,97.36937029
group_33_v1_11,N_LN,-0.313,-0.118733,39.83608995,20.13140426
group_33_v1_11,O_LN,-0.229626,-0.268882,145.5656956,110.2473274
group_33_v1_11,P_HP,0.232509,0.328392,23.4375,17.46928107
group_33_v1_11,Q_HP,0.276096,0.325023,45.04907264,18.63162503
group_33_v1_11,U_Ne,0.146907,-0.235914,24.70529422,11.48198317
group_33_v1_11,V_Ne,0.100384,-0.252923,17.1756588,11.20094436
group_33_v1_11,W_HN,-0.378761,0.090018,110.8439306,80.89239211
group_33_v1_12,A1_LP,0.207922,-0.237831,85.9375,0
group_33_v1_12,A2_LP,0.248303,-0.074866,69.8771243,31.25
group_33_v1_12,A3_LP,0.176878,0.303425,54.6875,0
group_33_v1_12,A4_LP,0.251129,-0.082535,171.875,0
group_33_v1_12,A_HN,-0.34123,0.134835,69.21892635,19.53125
group_33_v1_12,B_HN,-0.389389,0.248863,0,0
group_33_v1_12,C_LN,-0.17473,-0.364745,179.6875,0
group_33_v1_12,F_HN,-0.168942,0.410507,0,0
group_33_v1_12,G_HP,0.201794,0.391398,70.3125,0
group_33_v1_12,H_HP,0.228361,0.43936,113.8857792,64.6599428
group_33_v1_12,J_Ne,0.07909,-0.357391,89.24734108,35.15625
group_33_v1_12,K_Ne,0.056593,-0.40925,117.1875,0
group_33_v1_12,M_LN,-0.233041,-0.226736,195.3125,0
group_33_v1_12,N_LN,-0.270009,-0.156207,102.161694,11.04854346
group_33_v1_12,O_LN,-0.198086,-0.353745,133.9890117,92.33088339
group_33_v1_12,P_HP,0.200573,0.432037,113.8857792,42.96875
group_33_v1_12,Q_HP,0.238174,0.427605,44.53810254,11.71875
group_33_v1_12,U_Ne,0.126729,-0.310371,27.62135864,22.77715584
group_33_v1_12,V_Ne,0.086596,-0.332749,43.14594147,3.90625
group_33_v1_12,W_HN,-0.326737,0.118428,226.5625,0
group_33_v1_13,A1_LP,0.324067,-0.141654,70.9067768,38.45970443
group_33_v1_13,A2_LP,0.387006,-0.044591,121.5897659,85.14027663
group_33_v1_13,A3_LP,0.275683,0.180723,140.8418467,7.8125
group_33_v1_13,A4_LP,0.391411,-0.049159,45.55431168,28.96952534
group_33_v1_13,A_HN,-0.531842,0.080309,45.99875451,33.7538578
group_33_v1_13,B_HN,-0.606903,0.148225,113.3293463,87.06787886
group_33_v1_13,C_LN,-0.272335,-0.217246,35.99029938,12.21462437
group_33_v1_13,F_HN,-0.263313,0.244502,62.91713477,39.33261202
group_33_v1_13,G_HP,0.314517,0.23312,0,0
group_33_v1_13,H_HP,0.355924,0.261687,42.07160006,26.33171804
group_33_v1_13,J_Ne,0.12327,-0.212865,51.67483029,37.87249889
group_33_v1_13,K_Ne,0.088206,-0.243753,27.80489128,14.95979856
group_33_v1_13,M_LN,-0.363219,-0.135046,92.97740363,68.83710907
group_33_v1_13,N_LN,-0.420836,-0.093038,25.16425533,14.58318801
group_33_v1_13,O_LN,-0.308738,-0.210694,284.8235278,225.4132755
group_33_v1_13,P_HP,0.312614,0.257325,16.34101614,12.31398458
group_33_v1_13,Q_HP,0.371218,0.254686,20.85366846,12.61996873
group_33_v1_13,U_Ne,0.19752,-0.18486,119.8270441,81.44788852
group_33_v1_13,V_Ne,0.134969,-0.198189,445.3125,0
group_33_v1_13,W_HN,-0.509253,0.070537,47.62027725,37.4240324
group_33_v1_2,A1_LP,0.004782,-0.217703,18.52897067,11.3466309
group_33_v1_2,A2_LP,0.005711,-0.06853,17.11632992,11.69267933
group_33_v1_2,A3_LP,0.004068,0.277746,50.38911093,25
group_33_v1_2,A4_LP,0.005776,-0.07555,15.84052742,9.021097956
group_33_v1_2,A_HN,-0.007848,0.123423,28.88160549,16.8769289
group_33_v1_2,B_HN,-0.008955,0.227801,24.39452343,20.2032821
group_33_v1_2,C_LN,-0.004019,-0.333876,21.74907954,14.42611967
group_33_v1_2,F_HN,-0.003885,0.375765,12.87116361,8.048105526
group_33_v1_2,G_HP,0.004641,0.358273,20.66993212,13.53164693
group_33_v1_2,H_HP,0.005252,0.402176,52.05728515,22.64277617
group_33_v1_2,J_Ne,0.001819,-0.327144,21.0687457,15.56029993
group_33_v1_2,K_Ne,0.001302,-0.374614,22.43969784,6.477782794
group_33_v1_2,M_LN,-0.00536,-0.207547,26.90172052,16.55401448
group_33_v1_2,N_LN,-0.00621,-0.142987,36.17823956,22.09708691
group_33_v1_2,O_LN,-0.004556,-0.323806,18.85311718,11.20042059
group_33_v1_2,P_HP,0.004613,0.395472,18.52897067,8.228661888
group_33_v1_2,Q_HP,0.005478,0.391416,46.48273369,29.48119104
group_33_v1_2,U_Ne,0.002915,-0.284104,22.77715584,16.57281518
group_33_v1_2,V_Ne,0.001992,-0.304588,25.31539335,18.82400038
group_33_v1_2,W_HN,-0.007515,0.108405,16.57281518,11.71875
group_33_v1_3,A1_LP,0.338321,-0.126218,0,0
group_33_v1_3,A2_LP,0.404028,-0.039732,97.36937029,64.52870674
group_33_v1_3,A3_LP,0.287808,0.161029,0,0
group_33_v1_3,A4_LP,0.408627,-0.043802,350.0255757,167.5999261
group_33_v1_3,A_HN,-0.555235,0.071557,55.51824376,35.15625
group_33_v1_3,B_HN,-0.633597,0.132072,0,0
group_33_v1_3,C_LN,-0.284313,-0.193571,157.4175131,19.13663862
group_33_v1_3,F_HN,-0.274895,0.217857,0,0
group_33_v1_3,G_HP,0.328351,0.207716,116.7526655,76.10228748
group_33_v1_3,H_HP,0.371579,0.23317,409.1319054,277.34375
group_33_v1_3,J_Ne,0.128691,-0.189668,203.125,0
group_33_v1_3,K_Ne,0.092085,-0.21719,46.875,0
group_33_v1_3,M_LN,-0.379195,-0.12033,62.62195134,53.09483289
group_33_v1_3,N_LN,-0.439346,-0.0829,0,0
group_33_v1_3,O_LN,-0.322317,-0.187733,201.3898243,98.2792627
group_33_v1_3,P_HP,0.326364,0.229283,46.38414878,11.55484333
group_33_v1_3,Q_HP,0.387546,0.226931,0,0
group_33_v1_3,U_Ne,0.206208,-0.164715,45.33045621,22.99937726
group_33_v1_3,V_Ne,0.140906,-0.176591,0,0
group_33_v1_3,W_HN,-0.531652,0.06285,164.5577841,71.03219634
group_33_v1_4,A1_LP,0.406003,-0.082026,59.60072226,23.69648576
group_33_v1_4,A2_LP,0.484855,-0.025821,42.73985299,24.30500194
group_33_v1_4,A3_LP,0.345385,0.104649,185.0424888,149.2576029
group_33_v1_4,A4_LP,0.490374,-0.028466,183.323438,144.8969982
group_33_v1_4,A_HN,-0.666312,0.046504,65.71329625,25.5404235
group_33_v1_4,B_HN,-0.760351,0.085831,20.2974704,10.1487352
group_33_v1_4,C_LN,-0.341191,-0.125798,30.69576884,21.43437897
group_33_v1_4,F_HN,-0.329889,0.141581,32.63011481,24.36748064
