Participant,Stimulus_Name,Valence,Arousal,ibi mean normalize,ibi min normalize,ibi max normalize,ibi skew normalize,ibi kurtosis normalize,ibi std normalize
group33_v5_6,A3_LP,0.028945,0.243474,-0.0402814,-0.0895241,0.01553081,0.48578349,0.74155433,0.01877038
group33_v5_6,A4_LP,0.041096,-0.066228,-0.0238011,-0.0661786,0.02720357,0.00534363,-0.5248456,0.01972804
group33_v5_6,A_HN,-0.05584,0.108194,-0.0166887,-0.0814111,0.08556741,0.64508363,0.74452723,0.03078076
group33_v5_6,B_HN,-0.063721,0.199692,-0.0268732,-0.0778513,0.02720357,0.15151121,0.65671776,0.02019812
group33_v5_6,C_LN,-0.028594,-0.292678,-0.0323027,-0.1011969,0.03887634,-0.2353156,-0.1703067,0.02584723
group33_v5_6,F_HN,-0.027646,0.329398,-0.0363436,-0.0895241,0.01553081,0.06668375,-0.8366102,0.02538349
group33_v5_6,G_HP,0.033022,0.314065,-0.0122068,-0.0895241,0.06222188,-0.0327062,-0.4986726,0.02945502
group33_v5_6,H_HP,0.03737,0.35255,-0.0457521,-0.1245424,0.07389464,0.01930007,-1.1784785,0.04956277
group33_v5_6,J_Ne,0.012943,-0.286777,-0.050543,-0.1478879,0.03887634,-0.5556249,-0.3323491,0.03951825
group33_v5_6,K_Ne,0.009261,-0.32839,-0.0216445,-0.1245424,0.09724018,0.09978295,0.39793451,0.04354912
group33_v5_6,M_LN,-0.038136,-0.181937,-0.0447685,-0.0895241,0.01553081,0.40595592,-0.3557572,0.02068072
group33_v5_6,N_LN,-0.044185,-0.125343,-0.0134905,-0.0778513,0.05054911,-0.1391977,-0.583866,0.02551278
group33_v5_6,O_LN,-0.032416,-0.283851,-0.0354311,-0.0895241,0.05054911,0.6580611,0.42667138,0.02446856
group33_v5_6,P_HP,0.032823,0.346674,-0.0128358,-0.0778513,0.12058572,1.09102866,1.77635217,0.03392034
group33_v5_6,Q_HP,0.038976,0.343118,-0.0326192,-0.0895241,0.02720357,-0.3610075,-0.1950193,0.02508418
group33_v5_6,U_Ne,0.020738,-0.249048,-0.0489601,-0.1245424,0.02720357,9.71E-05,-0.2134372,0.03546614
group33_v5_6,V_Ne,0.014171,-0.267004,-0.0151949,-0.1011969,0.09724018,-0.3589277,0.10150029,0.03655606
group33_v5_6,W_HN,-0.053469,0.095029,-0.0350707,-0.0895241,0.06222188,0.58409274,1.32495036,0.02559582
group33_v5_7,A1_LP,0.05913,-0.235409,0.06925161,-0.0438527,0.33860628,0.87900647,-0.2825914,0.10160867
group33_v5_7,A2_LP,0.070614,-0.074104,0.04887343,-0.1155637,0.52983575,1.43413546,0.71177749,0.18734368
group33_v5_7,A3_LP,0.050302,0.300336,-0.0412649,-0.1394674,0.1712805,0.99565826,0.01070825,0.07988706
group33_v5_7,A4_LP,0.071418,-0.081695,-0.0163015,-0.1394674,0.67325786,2.31866481,4.44969651,0.17940447
group33_v5_7,A_HN,-0.097042,0.133462,0.11566556,-0.1394674,0.74496891,1.27515848,0.37011218,0.26026316
group33_v5_7,B_HN,-0.110737,0.246329,0.03329124,-0.0811511,0.26689523,0.88631209,0.07836909,0.07892203
group33_v5_7,C_LN,-0.049691,-0.361032,0.06995124,-0.1394674,0.41031734,0.51846271,-1.4889453,0.20279907
group33_v5_7,F_HN,-0.048045,0.406328,-0.0078139,-0.1394674,0.26689523,1.02782837,1.41765288,0.0803703
group33_v5_7,G_HP,0.057388,0.387413,-0.0936667,-0.1394674,0.12347313,1.59061565,2.59537687,0.05511071
group33_v5_7,H_HP,0.064943,0.434887,0.06821159,-0.1394674,0.43422102,0.81544672,-0.5694953,0.15769134
group33_v5_7,J_Ne,0.022492,-0.353752,0.30603531,-0.1394674,1.10352416,0.94133603,-0.0673531,0.31543471
group33_v5_7,K_Ne,0.016094,-0.405083,-0.0908321,-0.1155637,-0.0311402,1.13956665,0.11113088,0.02278516
group33_v5_7,M_LN,-0.066274,-0.224428,0.13641164,-0.1394674,0.62545049,0.76981418,-0.0973959,0.18528206
group33_v5_7,N_LN,-0.076787,-0.154617,-0.0393629,-0.1394674,0.33860628,1.52729156,2.75021272,0.09908734
group33_v5_7,O_LN,-0.056333,-0.350143,0.14732762,-0.1394674,0.52983575,0.20459346,-1.0179363,0.1900456
group33_v5_7,P_HP,0.057041,0.427638,0.11975857,-0.1155637,0.72106522,0.99706879,-0.5716037,0.25505222
group33_v5_7,Q_HP,0.067734,0.423252,0.03898068,-0.1394674,0.29079892,0.31817736,-1.1451953,0.12120147
group33_v5_7,U_Ne,0.03604,-0.307211,-0.0514749,-0.1155637,0.00395471,-0.5140997,-0.6727093,0.03194537
group33_v5_7,V_Ne,0.024627,-0.329362,0.05001731,-0.0885572,0.33860628,0.92722354,-0.3974159,0.11986963
group33_v5_7,W_HN,-0.09292,0.117222,-0.0078317,-0.1394674,0.1712805,0.35041719,-0.8787001,0.08234363
group33_v5_8,A1_LP,0.399106,-0.35633,0.0819039,-0.0011763,0.19858841,-0.0130126,-0.7113934,0.04372421
group33_v5_8,A2_LP,0.476619,-0.112168,0.09085421,-0.1376712,0.26993296,0.25376081,0.72945373,0.066082
group33_v5_8,A3_LP,0.339518,0.454607,0.06527392,-0.1010587,0.26993296,0.15166222,-1.3825331,0.10496617
group33_v5_8,A4_LP,0.482044,-0.123658,0.09914876,0.01309259,0.26993296,0.99708991,0.1764096,0.05999104
group33_v5_8,A_HN,-0.654993,0.202016,0.06205948,-0.0439831,0.17005059,0.16231177,-0.4017255,0.04819064
group33_v5_8,B_HN,-0.747435,0.372859,0.10126315,-0.0297141,0.39835315,0.71900549,0.43900594,0.08572079
group33_v5_8,C_LN,-0.335395,-0.546479,0.10135623,-0.0154452,0.40672652,0.56936774,3.75178141,0.05235888
group33_v5_8,F_HN,-0.324285,0.615042,0.10093055,-0.0297141,0.26993296,-0.0046749,-0.6847994,0.06173199
group33_v5_8,G_HP,0.387345,0.586412,0.10797948,-0.0297141,0.22712623,-0.0453666,-0.5515469,0.05461875
group33_v5_8,H_HP,0.43834,0.658271,0.07358135,-0.0297141,0.1843195,0.26888449,0.64914641,0.04099416
group33_v5_8,J_Ne,0.151813,-0.53546,0.07444242,-0.0154452,0.24139514,1.03734827,0.99492143,0.05376283
group33_v5_8,K_Ne,0.10863,-0.613159,-0.000229,-0.0867898,0.17005059,0.86758226,0.3132154,0.05952327
group33_v5_8,M_LN,-0.447324,-0.339707,0.11740166,-0.372168,0.24139514,-2.5743087,6.56485151,0.11509802
group33_v5_8,N_LN,-0.518283,-0.234037,0.05837185,-0.0861912,0.25566405,0.87182707,1.1011042,0.06485792
group33_v5_8,O_LN,-0.380227,-0.529998,0.08209894,-0.4863193,0.28420187,-2.779368,10.2536601,0.10287592
group33_v5_8,P_HP,0.385001,0.647299,0.16573914,-0.0439831,0.55531116,1.17552749,3.67014035,0.08901802
group33_v5_8,Q_HP,0.457176,0.640659,0.06508337,0.01309259,0.17005059,0.65194567,-0.2075448,0.03107901
group33_v5_8,U_Ne,0.243257,-0.465014,0.02481374,-0.0439831,0.11297496,0.08177224,-1.0086145,0.03881162
